kp_id,name,subject,subject_zh,stage,grade,curriculum,domain,path,curriculum_points_count,excerpts_count,curriculum_md_chars,has_curriculum_md,textbook_chapter,textbook_chars,has_usable_textbook,exercises_count,errors_count,interactive_count,real_world_count,has_teaching_methods,has_extensions,gap_count,gaps,quality_flags
bio-h-cell-membrane,细胞膜结构,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-cell-membrane.json,3,77,0,False,,20731,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cell-metabolism,细胞代谢总论,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-cell-metabolism.json,4,76,0,False,,24969,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cell-structure,细胞总论,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-cell-structure.json,4,60,0,False,,13447,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cellular-respiration,细胞呼吸,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-cellular-respiration.json,2,106,0,False,,25960,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-chromosome-variation,染色体变异,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-chromosome-variation.json,2,33,2377,True,,11581,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-community,群落,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-community.json,3,47,0,False,选择性必修二 第2章,22244,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-dna-gene,DNA 与基因综合,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-gene.json,3,47,0,False,,17586,True,2,2,3,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-dna-is-genetic-material,DNA 是遗传物质,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-is-genetic-material.json,2,40,0,False,,12794,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-dna-replication,DNA 复制,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-replication.json,2,57,0,False,,16647,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-dna-structure,DNA 分子结构,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-structure.json,2,61,0,False,,22500,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-ecosystem,生态系统总论,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem.json,2,84,0,False,,24822,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-ecosystem-stability,生态系统稳定性,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem-stability.json,3,32,0,False,,12535,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-ecosystem-structure,生态系统结构,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem-structure.json,3,41,0,False,,12355,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-elements-compounds,组成细胞的元素与化合物,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-elements-compounds.json,4,58,0,False,,22092,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-endomembrane-system,生物膜系统,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-endomembrane-system.json,2,24,2369,True,,8892,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-energy-flow,生态系统能量流动,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-energy-flow.json,3,52,0,False,,16037,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-enzyme,酶,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-enzyme.json,2,110,0,False,,29219,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-evolution-evidence,生物进化的证据,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-evolution-evidence.json,2,77,0,False,,13693,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-gene-concept,基因的概念与表达,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-gene-concept.json,2,49,0,False,,14414,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-gene-mutation,基因突变,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-gene-mutation.json,2,99,2467,True,,26897,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-gene-regulation,基因表达调控,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-gene-regulation.json,2,95,0,False,,29330,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-gene-to-protein,从基因到蛋白质,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-gene-to-protein.json,3,106,0,False,,28585,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-genetic-variation,遗传变异综合,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-genetic-variation.json,3,118,0,False,,26576,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-genetics-mendel,孟德尔遗传综合,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-genetics-mendel.json,2,35,0,False,,16020,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-human-genetics,人类遗传病,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-human-genetics.json,2,45,2375,True,,13617,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-humoral-regulation,体液调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-humoral-regulation.json,3,62,0,False,选择性必修一 第3章,20274,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-immune-regulation,免疫调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-immune-regulation.json,3,61,2382,True,选择性必修一 第4章,20006,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-information-transmission,生态系统信息传递,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-information-transmission.json,3,21,0,False,,6120,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-internal-environment,内环境与稳态,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-internal-environment.json,2,64,2433,True,选择性必修一 第1章,19721,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-material-cycle-h,生态系统物质循环,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-material-cycle-h.json,3,47,0,False,,17223,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-meiosis,减数分裂,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-meiosis.json,2,82,0,False,,24611,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-mendel-law-1,分离定律,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-mendel-law-1.json,2,51,2356,True,,19235,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-mendel-law-2,自由组合定律,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-mendel-law-2.json,2,39,2397,True,,15846,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-mitosis,有丝分裂,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-mitosis.json,3,56,2359,True,,17864,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-natural-selection,自然选择与适应,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-natural-selection.json,2,112,2407,True,,22945,True,2,2,2,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-nervous-humoral-immune,神经—体液—免疫综合,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-nervous-humoral-immune.json,3,25,0,False,,8099,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-nervous-regulation,神经调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-nervous-regulation.json,3,42,2400,True,选择性必修一 第2章,9356,True,2,2,2,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-nucleus,细胞核,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-nucleus.json,2,16,0,False,,6777,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-organelles,细胞器,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-organelles.json,4,97,0,False,,19478,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-photosynthesis,光合作用,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-photosynthesis.json,3,90,0,False,,19819,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-photosynthesis-respiration-relation,光合与呼吸的关系,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-photosynthesis-respiration-relation.json,3,20,2448,True,,8309,True,2,2,2,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-plant-hormone,植物激素调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-plant-hormone.json,4,29,2364,True,,6938,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-population,种群及其特征,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-population.json,3,78,0,False,,28776,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-prokaryote-eukaryote,原核细胞与真核细胞,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-prokaryote-eukaryote.json,2,92,2432,True,,24774,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-protein-nucleic-acid,蛋白质与核酸,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-protein-nucleic-acid.json,2,81,2413,True,,24155,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-sex-linked-inheritance,伴性遗传,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-sex-linked-inheritance.json,2,36,2383,True,,13375,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-speciation,物种形成,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-speciation.json,2,56,0,False,,16807,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-stem-cell,干细胞,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-stem-cell.json,2,27,0,False,,13384,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-sugar-lipid,糖类与脂质,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-sugar-lipid.json,2,62,2400,True,,14841,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-transport-across-membrane,物质跨膜运输,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-transport-across-membrane.json,4,101,2393,True,,22669,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-m-animal-behavior,动物行为,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-animal-behavior.json,3,22,0,False,,6715,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-animal-diversity,动物的主要类群,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-animal-diversity.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-asexual-reproduction,植物的无性生殖,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-asexual-reproduction.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-bio-characteristics,生物的基本特征,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-bio-characteristics.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-bio-classification,生物分类,biology,生物,middle,8,cn,生物多样性与跨学科实践,data/kp/biology/bio-m-bio-classification.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-biodiversity-m,生物多样性及其保护,biology,生物,middle,8,cn,生物多样性与跨学科实践,data/kp/biology/bio-m-biodiversity-m.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-biology-cross-disciplinary-practice,生物学跨学科实践,biology,生物,middle,8,cn,生物多样性与跨学科实践,data/kp/biology/bio-m-biology-cross-disciplinary-practice.json,4,4,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-biosphere,生物圈,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-biosphere.json,4,4,2223,True,,0,False,2,2,1,0,True,True,3,missing_usable_textbook;real_world<1;quality_flags,generic_curriculum_dump;textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-m-biosphere-largest,生物圈是最大的生态系统,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-biosphere-largest.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-biosphere-scope,生物圈的范围,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-biosphere-scope.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-cell-basics,细胞基础,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-basics.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-cell-division-junior,细胞分化,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-division-junior.json,3,3,0,False,,0,False,2,2,2,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-cell-division-m,细胞分裂,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-division-m.json,3,3,0,False,必修一 第6章,0,False,2,2,2,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-cell-life-activities,细胞的生命活动,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-life-activities.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-cell-structure-m,细胞的结构,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-structure-m.json,3,3,0,False,必修一 第3章,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-circulation-respiration,循环与呼吸综合,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-circulation-respiration.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-circulatory-system,循环系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-circulatory-system.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-digestion-system,消化系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-digestion-system.json,3,4,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-eco-factors,生态因素,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-eco-factors.json,4,4,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-ecosystem-junior,生态系统的组成,biology,生物,middle,8,cn,生物与环境,data/kp/biology/bio-m-ecosystem-junior.json,4,4,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-endocrine-system-m,内分泌系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-endocrine-system-m.json,3,2,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-excretory-system,排泄系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-excretory-system.json,4,4,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-flower-structure,花的结构与传粉,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-flower-structure.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-food-chain,食物链与食物网,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-food-chain.json,3,3,2255,True,,0,False,2,2,1,0,True,True,3,missing_usable_textbook;real_world<1;quality_flags,generic_curriculum_dump;textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-m-fruit-seed-formation,果实与种子的形成,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-fruit-seed-formation.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-human-body-overview,人体概述,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-human-body-overview.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-infectious-disease,传染病与免疫,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-infectious-disease.json,2,2,2517,True,,0,False,2,2,1,0,True,True,3,missing_usable_textbook;real_world<1;quality_flags,generic_curriculum_dump;textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-m-leaf-structure,叶片结构,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-leaf-structure.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-microorganism,微生物（细菌/真菌/病毒）,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-microorganism.json,4,4,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-microorganism-health,微生物与人类健康,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-microorganism-health.json,3,3,0,False,,0,False,2,2,1,0,False,False,6,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,generic_curriculum_dump;cross_subject_history_template
bio-m-microscope-use,显微镜的使用,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-microscope-use.json,3,3,2263,True,,0,False,2,2,1,0,True,True,3,missing_usable_textbook;real_world<1;quality_flags,generic_curriculum_dump;textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
